Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
52;12164;"Brain and Language";journal;"10902155, 0093934X";0,881;Q2;140;66;218;5177;582;213;2,62;78,44;United States;Northern America;"Academic Press Inc.";"1974-2023";"Linguistics and Language (Q1); Speech and Hearing (Q1); Cognitive Neuroscience (Q2); Experimental and Cognitive Psychology (Q2)";"Health Professions; Neuroscience; Psychology; Social Sciences"
53;18654;"Applied Psycholinguistics";journal;"14691817, 01427164";0,875;Q2;101;52;167;3590;436;164;2,48;69,04;United Kingdom;Western Europe;"Cambridge University Press";"1980-2023";"Linguistics and Language (Q1); Psychology (miscellaneous) (Q1); Experimental and Cognitive Psychology (Q2)";"Psychology; Social Sciences"
54;21100872040;"Cognitive Behaviour Therapist";journal;"1754470X";0,864;Q2;23;36;154;2131;382;153;1,55;59,19;United Kingdom;Western Europe;"Cambridge University Press";"2008-2023";"Clinical Psychology (Q2); Experimental and Cognitive Psychology (Q2)";"Psychology"
55;20300195073;"Journal of Applied Research in Memory and Cognition";journal;"22113681";0,854;Q2;49;51;240;2554;636;189;2,24;50,08;United States;Northern America;"Society for Applied Research in Memory and Cognition";"2012-2023";"Applied Psychology (Q2); Clinical Psychology (Q2); Experimental and Cognitive Psychology (Q2)";"Psychology"
56;12869;"Cognitive Development";journal;"08852014";0,838;Q2;91;87;324;5809;664;320;1,99;66,77;United Kingdom;Western Europe;"Elsevier Ltd";"1986-2023";"Developmental and Educational Psychology (Q2); Experimental and Cognitive Psychology (Q2)";"Psychology"
57;17500155126;"Attention, Perception, and Psychophysics";journal;"1943393X, 19433921";0,833;Q2;134;217;720;12479;1393;716;1,91;57,51;United States;Northern America;"Springer New York";"2009-2023";"Linguistics and Language (Q1); Experimental and Cognitive Psychology (Q2); Sensory Systems (Q2)";"Neuroscience; Psychology; Social Sciences"
58;13401;"Consciousness and Cognition";journal;"10538100, 10902376";0,827;Q2;126;96;355;6398;902;351;2,40;66,65;United States;Northern America;"Academic Press Inc.";"1992-2023";"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q2); Experimental and Cognitive Psychology (Q2)";"Arts and Humanities; Psychology"
59;12163;"Brain and Cognition";journal;"10902147, 02782626";0,823;Q2;140;63;219;4077;582;216;2,39;64,71;United States;Northern America;"Academic Press Inc.";"1982-2023";"Arts and Humanities (miscellaneous) (Q1); Cognitive Neuroscience (Q2); Developmental and Educational Psychology (Q2); Experimental and Cognitive Psychology (Q2); Neuropsychology and Physiological Psychology (Q2)";"Arts and Humanities; Neuroscience; Psychology"
60;10900153311;"Musicae Scientiae";journal;"10298649, 20454147";0,815;Q2;49;61;94;3987;281;92;3,12;65,36;United States;Northern America;"SAGE Publications Inc.";"1997-2023";"Music (Q1); Experimental and Cognitive Psychology (Q2)";"Arts and Humanities; Psychology"
61;15508;"Journal of General Psychology";journal;"00221309, 19400888";0,806;Q2;54;47;71;2598;225;70;3,20;55,28;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1928-1954, 1956-2023";"Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q1); Experimental and Cognitive Psychology (Q2)";"Arts and Humanities; Psychology; Social Sciences"
62;4000149409;"Quarterly Journal of Experimental Psychology";journal;"17470218, 17470226";0,796;Q2;126;285;489;17985;1009;487;1,88;63,11;United Kingdom;Western Europe;"SAGE Publications Inc.";"2006-2023";"Experimental and Cognitive Psychology (Q2); Medicine (miscellaneous) (Q2); Neuropsychology and Physiological Psychology (Q2); Physiology (Q2); Physiology (medical) (Q2); Psychology (miscellaneous) (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine; Psychology"
63;21100870687;"Perspectives on Behavior Science";journal;"25208969, 25208977";0,788;Q2;43;37;113;2165;255;105;2,15;58,51;Switzerland;Western Europe;"Springer International Publishing AG";"2018-2023";"Clinical Psychology (Q2); Experimental and Cognitive Psychology (Q2); Social Psychology (Q2)";"Psychology"
64;24007;"Physiology and Behavior";journal;"1873507X, 00319384";0,783;Q2;186;262;927;16448;2775;904;2,69;62,78;United States;Northern America;"Elsevier Inc.";"1966-2023";"Behavioral Neuroscience (Q2); Experimental and Cognitive Psychology (Q2)";"Neuroscience; Psychology"
65;14916;"Cognitive Neuropsychology";journal;"14640627, 02643294";0,764;Q2;97;16;110;1110;234;80;1,44;69,38;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1984-2023";"Arts and Humanities (miscellaneous) (Q1); Cognitive Neuroscience (Q2); Developmental and Educational Psychology (Q2); Experimental and Cognitive Psychology (Q2); Neuropsychology and Physiological Psychology (Q2)";"Arts and Humanities; Neuroscience; Psychology"
66;21100244224;"Religion, Brain and Behavior";journal;"2153599X, 21535981";0,764;Q2;30;133;135;4618;209;68;1,49;34,72;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2023";"Religious Studies (Q1); Experimental and Cognitive Psychology (Q2)";"Arts and Humanities; Psychology"
67;19900191604;"International Journal of Cognitive Therapy";journal;"19371209, 19371217";0,762;Q2;37;50;92;3302;210;92;2,46;66,04;United States;Northern America;"Guilford Publications";"2008-2023";"Experimental and Cognitive Psychology (Q2)";"Psychology"
68;12024;"Applied Cognitive Psychology";journal;"10990720, 08884080";0,761;Q2;119;115;389;6002;988;378;2,53;52,19;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1987-2023";"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q2); Experimental and Cognitive Psychology (Q2)";"Arts and Humanities; Psychology"
69;15506;"Journal of Fluency Disorders";journal;"0094730X, 1873801X";0,758;Q2;66;32;69;2246;180;69;2,29;70,19;United States;Northern America;"Elsevier Inc.";"1974, 1977-2023";"Linguistics and Language (Q1); LPN and LVN (Q1); Speech and Hearing (Q1); Experimental and Cognitive Psychology (Q2); Cognitive Neuroscience (Q3)";"Health Professions; Neuroscience; Nursing; Psychology; Social Sciences"
70;17500155125;"Emotion, Space and Society";journal;"17554586, 18780040";0,711;Q2;50;29;148;1865;400;144;2,32;64,31;Netherlands;Western Europe;"Elsevier B.V.";"2008-2023";"Experimental and Cognitive Psychology (Q2); Social Psychology (Q2)";"Psychology"
71;29424;"Acta Psychologica";journal;"18736297, 00016918";0,700;Q2;112;231;595;15231;1383;592;2,36;65,94;Netherlands;Western Europe;"Elsevier B.V.";"1936-1937, 1939, 1941, 1949-1951, 1953-2023";"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q2); Experimental and Cognitive Psychology (Q2); Medicine (miscellaneous) (Q2)";"Arts and Humanities; Medicine; Psychology"
72;21100901905;"Revista de Psicologia Clinica con Ninos y Adolescentes";journal;"23408340";0,685;Q2;12;26;83;1201;221;82;0,85;46,19;Spain;Western Europe;"Aitana Research Group";"2018-2023";"Clinical Psychology (Q2); Developmental and Educational Psychology (Q2); Experimental and Cognitive Psychology (Q2); Pediatrics, Perinatology and Child Health (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
73;16249;"Journal of Behavior Therapy and Experimental Psychiatry";journal;"18737943, 00057916";0,674;Q2;90;82;186;4676;388;184;1,82;57,02;United Kingdom;Western Europe;"Elsevier Ltd";"1970-2024";"Arts and Humanities (miscellaneous) (Q1); Clinical Psychology (Q2); Experimental and Cognitive Psychology (Q2); Psychiatry and Mental Health (Q2)";"Arts and Humanities; Medicine; Psychology"
74;12126;"Behaviour Change";journal;"20497768, 08134839";0,673;Q2;46;15;57;700;113;56;1,66;46,67;United Kingdom;Western Europe;"Cambridge University Press";"1984-2023";"Clinical Psychology (Q2); Experimental and Cognitive Psychology (Q2)";"Psychology"
